"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"208",457000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",465000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",473000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",481000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",489000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",497000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",505000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",513000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",521000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",529000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",537000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",545000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",553000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",561000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",569000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",577000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",585000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",593000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",601000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",609000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",617000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",625000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",633000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",641000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",649000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",657000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",665000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",673000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",681000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",689000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",697000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",705000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",713000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",721000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",729000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",737000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",745000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",753000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",761000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",769000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",777000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",785000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",793000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",801000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",809000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",817000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",825000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",833000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",841000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",849000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",857000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",865000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",873000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",881000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",889000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",897000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",905000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",913000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",921000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",929000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",937000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",945000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",953000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",961000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",969000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",977000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",985000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",993000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",1001000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",1009000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",1017000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",1025000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",1033000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",1041000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",1049000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",1057000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",-63000,1474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",-55000,1474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",-47000,1474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",-39000,1474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",-31000,1474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
