"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"10801",0.2528825,0.3531825,0.14759,0.0393666666666667,0.0273325,0.0067125,0.01948,0.0294225,0.03225,0.0448166666666667,0.1244725,0.2206325
"10802",0.262145,0.35412,0.146985,0.0394033333333333,0.0273625,0.006715,0.019445,0.0293575,0.03221,0.04477,0.12539,0.197875
"10806",0.1741,0.1840975,0.1216375,0.0426066666666667,0.0451285,0.0257125,0.02868,0.0341925,0.028165,0.0448706666666667,0.068445,0.1119775
"10807",0.17821,0.1841675,0.118435,0.0426733333333333,0.04518925,0.0257125,0.0287075,0.03419,0.028045,0.044881,0.0703325,0.1169075
"10808",0.2847675,0.3568575,0.1593825,0.04031,0.0274675,0.006695,0.019275,0.0290025,0.0319275,0.0446866666666667,0.13546,0.2431175
"10836",0.0503975,0.0375925,0.0465225,0.027028,0.05220075,0.06649625,0.06087,0.057149,0.05500325,0.0457326666666667,0.008326,0.018625
"10885",0,0,0,0,0,0,0,0,0,0,0,0
"10886",-2.50000000001638e-06,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
"10888",-2.50000000001638e-06,-7.49999999996587e-06,0,0,0,0,0,0,0,0,0,0
"10898",0,0,0,0,0,0,0,0,0,0,0,2.5000000000025e-06
"10899",-0.161855,-0.1723275,-0.05574,-0.01357,-0.0077125,-0.00660500000000001,-0.01908,-0.024505,-0.0249425,-0.0253266666666667,-0.0747525,-0.1631725
"10903",2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0,0
"10912",0.1289325,0.1532325,0.0693025,0.0209233333333333,0.015315,0.000447500000000003,0.00432499999999999,0.00903249999999999,0.00706749999999999,0.0181933333333333,0.05898,0.1156325
"10913",0.1347675,0.1560875,0.0702725,0.021,0.015315,0.000452500000000002,0.0043375,0.0090175,0.00706499999999999,0.0181833333333333,0.0592325,0.1194525
"10918",-0.0131675,0.01928,0.00369000000000001,0.007918,0.02525075,0.04264125,0.0387125,0.031264,0.02926325,0.0179993333333333,-0.000953999999999997,-0.0036325
"10919",-0.0111125,0.0230575,0.0041425,0.00787466666666667,0.02521075,0.04263125,0.0386775,0.0313115,0.02933575,0.0179893333333333,-0.001059,-0.00477500000000001
"10932",0.141685,0.163705,0.077875,0.0222666666666667,0.0159525,0.000690000000000003,0.0048275,0.00900249999999999,0.00665749999999999,0.0167566666666667,0.05799,0.117825
"10935",0.1401575,0.16401,0.07865,0.02242,0.0161075,0.000757500000000001,0.0049575,0.00904750000000001,0.0065925,0.01656,0.0583375,0.114025
"10936",0.138055,0.1642775,0.079855,0.0224666666666667,0.0161575,0.000775000000000005,0.005005,0.00906499999999999,0.006575,0.0165033333333333,0.0564775,0.1130825
"10938",0.28827,0.35003,0.1469775,0.03923,0.02709,0.0067225,0.0196975,0.02978,0.03238,0.0448033333333333,0.1232675,0.22925
"10939",0.284685,0.35038,0.1470525,0.03925,0.0271375,0.0067225,0.0196575,0.0297175,0.0323475,0.04474,0.12327,0.2330625
"10940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10945",0.136295,0.1662525,0.08272,0.0229766666666667,0.0164775,0.000959999999999996,0.00543,0.00925,0.006325,0.0161933333333333,0.0547,0.0823325
